,Name,Super Power,Super Power Processed
59,Absorbing Man,Heat Resistance,Heat Resistance
60,Absorbing Man,Matter Absorption,Matter Absorption
61,Adam Monroe,Accelerated Healing,Accelerated Healing
62,Adam Monroe,Immortality,Immortality
63,Adam Monroe,Regeneration,Regeneration
64,Adam Strange,Durability,Durability
65,Adam Strange,Stealth,S t e a l t h
66,Adam Strange,Flight,F l i g h t
67,Adam Strange,Marksmanship,Marksmanship
68,Adam Strange,Weapons Master,Weapons Master
69,Adam Strange,Intelligence,Intelligence
70,Adam Strange,Super Speed,Super Speed
71,Adam Strange,Fire Resistance,Fire Resistance
72,Adam Strange,Enhanced Sight,Enhanced Sight
73,Adam Strange,Power Suit,Power Suit
74,Agent Bob,Stealth,S t e a l t h
75,Agent Zero,Energy Absorption,Energy Absorption
76,Agent Zero,Longevity,Longevity
77,Agent Zero,Super Strength,Super Strength
78,Agent Zero,Energy Blasts,Energy Blasts
79,Agent Zero,Energy Beams,Energy Beams
80,Agent Zero,Power Suit,Power Suit
81,Air-Walker,Flight,F l i g h t
82,Air-Walker,Super Strength,Super Strength
83,Air-Walker,Super Speed,Super Speed
84,Air-Walker,Self-Sustenance,Self-Sustenance
85,Air-Walker,Molecular Manipulation,Molecular Manipulation
86,Air-Walker,Power Cosmic,Power Cosmic
87,Ajax,Agility,A g i l i t y
88,Ajax,Super Strength,Super Strength
89,Ajax,Super Speed,Super Speed
90,Ajax,Heat Generation,Heat Generation
91,Ajax,Power Suit,Power Suit
92,Alan Scott,Flight,F l i g h t
93,Alan Scott,Danger Sense,Danger Sense
94,Alan Scott,Intelligence,Intelligence
95,Alan Scott,Telepathy,Telepathy
96,Alan Scott,Energy Blasts,Energy Blasts
97,Alan Scott,Super Speed,Super Speed
98,Alan Scott,Teleportation,Teleportation
99,Alan Scott,Energy Beams,Energy Beams
100,Alan Scott,Phasing,P h a s i n g
101,Alan Scott,Force Fields,Force Fields
102,Alan Scott,Hypnokinesis,Hypnokinesis
103,Alan Scott,Energy Manipulation,Energy Manipulation
104,Alan Scott,Invisibility,Invisibility
105,Alex Mercer,Agility,A g i l i t y
106,Alex Mercer,Accelerated Healing,Accelerated Healing
107,Alex Mercer,Stealth,S t e a l t h
108,Alex Mercer,Energy Absorption,Energy Absorption
109,Alex Mercer,Danger Sense,Danger Sense
110,Alex Mercer,Marksmanship,Marksmanship
111,Alex Mercer,Weapons Master,Weapons Master
112,Alex Mercer,Longevity,Longevity
113,Alex Mercer,Super Strength,Super Strength
114,Alex Mercer,Energy Blasts,Energy Blasts
115,Alex Mercer,Stamina,S t a m i n a
116,Alex Mercer,Super Speed,Super Speed
117,Alex Mercer,Enhanced Senses,Enhanced Senses
118,Alex Mercer,Jump,J u m p
119,Alex Mercer,Shapeshifting,Shapeshifting
120,Alex Mercer,Immortality,Immortality
121,Alex Mercer,Invulnerability,Invulnerability
122,Alex Mercer,Elasticity,Elasticity
123,Alex Mercer,Substance Secretion,Substance Secretion
124,Alex Mercer,Enhanced Hearing,Enhanced Hearing
125,Alex Mercer,Natural Armor,Natural Armor
126,Alex Mercer,Adaptation,Adaptation
127,Alex Mercer,Gliding,G l i d i n g
128,Alex Mercer,Natural Weapons,Natural Weapons
129,Alex Mercer,Wallcrawling,Wallcrawling
130,Alex Mercer,Matter Absorption,Matter Absorption
131,Alex Mercer,Vision - Thermal,Vision - Thermal
132,Alex Woolsly,Underwater breathing,Underwater breathing
133,Alien,Agility,A g i l i t y
134,Alien,Cold Resistance,Cold Resistance
135,Alien,Durability,Durability
136,Alien,Stealth,S t e a l t h
137,Alien,Super Strength,Super Strength
138,Alien,Super Speed,Super Speed
139,Alien,Enhanced Senses,Enhanced Senses
140,Alien,Jump,J u m p
141,Alien,Substance Secretion,Substance Secretion
142,Alien,Natural Armor,Natural Armor
143,Alien,Heat Resistance,Heat Resistance
144,Alien,Natural Weapons,Natural Weapons
145,Alien,Wallcrawling,Wallcrawling
146,Alien,Vision - Thermal,Vision - Thermal
147,Allan Quatermain,Marksmanship,Marksmanship
148,Amazo,Agility,A g i l i t y
149,Amazo,Lantern Power Ring,Lantern Power Ring
150,Amazo,Durability,Durability
151,Amazo,Flight,F l i g h t
152,Amazo,Underwater breathing,Underwater breathing
153,Amazo,Marksmanship,Marksmanship
154,Amazo,Power Augmentation,Power Augmentation
155,Amazo,Longevity,Longevity
156,Amazo,Intelligence,Intelligence
157,Amazo,Super Strength,Super Strength
158,Amazo,Cryokinesis,Cryokinesis
159,Amazo,Telepathy,Telepathy
160,Amazo,Energy Blasts,Energy Blasts
161,Amazo,Duplication,Duplication
162,Amazo,Size Changing,Size Changing
163,Amazo,Stamina,S t a m i n a
164,Amazo,Super Speed,Super Speed
165,Amazo,Weapon-based Powers,Weapon-based Powers
166,Amazo,Teleportation,Teleportation
167,Amazo,Enhanced Senses,Enhanced Senses
168,Amazo,Jump,J u m p
169,Amazo,Shapeshifting,Shapeshifting
170,Amazo,Camouflage,Camouflage
171,Amazo,Phasing,P h a s i n g
172,Amazo,Fire Control,Fire Control
173,Amazo,Enhanced Memory,Enhanced Memory
174,Amazo,Reflexes,Reflexes
175,Amazo,Invulnerability,Invulnerability
176,Amazo,Energy Constructs,Energy Constructs
177,Amazo,Force Fields,Force Fields
178,Amazo,Power Absorption,Power Absorption
179,Amazo,Enhanced Hearing,Enhanced Hearing
180,Amazo,Time Travel,Time Travel
181,Amazo,Enhanced Smell,Enhanced Smell
182,Amazo,Water Control,Water Control
183,Amazo,Vision - Telescopic,Vision - Telescopic
184,Amazo,Magnetism,Magnetism
185,Amazo,Invisibility,Invisibility
186,Amazo,Vision - Microscopic,Vision - Microscopic
187,Amazo,Super Breath,Super Breath
188,Amazo,Vision - Night,Vision - Night
189,Amazo,Vision - Heat,Vision - Heat
190,Amazo,Vision - X-Ray,Vision - X-Ray
191,Amazo,Vision - Thermal,Vision - Thermal
192,Ammo,Weapons Master,Weapons Master
193,Ando Masahashi,Power Augmentation,Power Augmentation
194,Angel,Agility,A g i l i t y
195,Angel,Accelerated Healing,Accelerated Healing
196,Angel,Durability,Durability
197,Angel,Stealth,S t e a l t h
198,Angel,Flight,F l i g h t
199,Angel,Longevity,Longevity
200,Angel,Super Strength,Super Strength
201,Angel,Stamina,S t a m i n a
202,Angel,Super Speed,Super Speed
203,Angel,Enhanced Senses,Enhanced Senses
204,Angel,Magic,M a g i c
205,Angel,Immortality,Immortality
206,Angel,Enhanced Memory,Enhanced Memory
207,Angel,Psionic Powers,Psionic Powers
208,Angel,Enhanced Hearing,Enhanced Hearing
209,Angel,Gliding,G l i d i n g
210,Angel,Vision - Telescopic,Vision - Telescopic
211,Angel,Toxin and Disease Resistance,"Toxin,Disease Resis"
212,Angel Dust,Agility,A g i l i t y
213,Angel Dust,Super Strength,Super Strength
214,Angel Dust,Stamina,S t a m i n a
215,Angel Dust,Super Speed,Super Speed
216,Angel Salvadore,Flight,F l i g h t
217,Angel Salvadore,Animal Attributes,Animal Attributes
218,Angel Salvadore,Animal Oriented Powers,Animal Oriented Powers
219,Angel Salvadore,Regeneration,Regeneration
220,Angel Salvadore,Toxin and Disease Control,"Toxin,Disease Control"
221,Angela,Longevity,Longevity
222,Animal Man,Animal Attributes,Animal Attributes
223,Animal Man,Telepathy,Telepathy
224,Animal Man,Energy Blasts,Energy Blasts
225,Animal Man,Animal Oriented Powers,Animal Oriented Powers
226,Animal Man,Empathy,E m p a t h y
227,Annihilus,Agility,A g i l i t y
228,Annihilus,Durability,Durability
229,Annihilus,Flight,F l i g h t
230,Annihilus,Super Strength,Super Strength
231,Annihilus,Stamina,S t a m i n a
232,Annihilus,Super Speed,Super Speed
233,Annihilus,Reflexes,Reflexes
234,Ant-Man,Intelligence,Intelligence
235,Ant-Man,Size Changing,Size Changing
236,Ant-Man II,Agility,A g i l i t y
237,Ant-Man II,Stealth,S t e a l t h
238,Ant-Man II,Intelligence,Intelligence
239,Ant-Man II,Super Strength,Super Strength
240,Ant-Man II,Telepathy,Telepathy
241,Ant-Man II,Size Changing,Size Changing
242,Ant-Man II,Stamina,S t a m i n a
243,Ant-Man II,Animal Oriented Powers,Animal Oriented Powers
244,Ant-Man II,Animal Control,Animal Control
245,Anti-Monitor,Accelerated Healing,Accelerated Healing
246,Anti-Monitor,Dimensional Awareness,Dimensional Awareness
247,Anti-Monitor,Durability,Durability
248,Anti-Monitor,Energy Absorption,Energy Absorption
249,Anti-Monitor,Flight,F l i g h t
250,Anti-Monitor,Power Augmentation,Power Augmentation
251,Anti-Monitor,Intelligence,Intelligence
252,Anti-Monitor,Super Strength,Super Strength
253,Anti-Monitor,Telepathy,Telepathy
254,Anti-Monitor,Energy Blasts,Energy Blasts
255,Anti-Monitor,Size Changing,Size Changing
256,Anti-Monitor,Darkforce Manipulation,Darkforce Manipulation
257,Anti-Monitor,Teleportation,Teleportation
258,Anti-Monitor,Energy Beams,Energy Beams
259,Anti-Monitor,Immortality,Immortality
260,Anti-Monitor,Invulnerability,Invulnerability
261,Anti-Monitor,Energy Constructs,Energy Constructs
262,Anti-Monitor,Molecular Manipulation,Molecular Manipulation
263,Anti-Monitor,Power Suit,Power Suit
264,Anti-Monitor,Time Travel,Time Travel
265,Anti-Monitor,Time Manipulation,Time Manipulation
266,Anti-Monitor,Matter Absorption,Matter Absorption
267,Anti-Monitor,Reality Warping,Reality Warping
268,Anti-Spawn,Durability,Durability
269,Anti-Spawn,Super Strength,Super Strength
270,Anti-Spawn,Energy Blasts,Energy Blasts
271,Anti-Spawn,Stamina,S t a m i n a
272,Anti-Spawn,Teleportation,Teleportation
273,Anti-Spawn,Energy Manipulation,Energy Manipulation
274,Anti-Venom,Accelerated Healing,Accelerated Healing
275,Anti-Venom,Durability,Durability
276,Anti-Venom,Danger Sense,Danger Sense
277,Anti-Venom,Super Strength,Super Strength
278,Anti-Venom,Stamina,S t a m i n a
279,Anti-Venom,Enhanced Senses,Enhanced Senses
280,Anti-Venom,Shapeshifting,Shapeshifting
281,Anti-Venom,Camouflage,Camouflage
282,Anti-Venom,Reflexes,Reflexes
283,Anti-Venom,Elasticity,Elasticity
284,Anti-Venom,Toxin and Disease Resistance,"Toxin,Disease Resis"
285,Anti-Venom,Wallcrawling,Wallcrawling
286,Anti-Venom,Web Creation,Web Creation
287,Anti-Venom,Symbiote Costume,Symbiote Costume
288,Apocalypse,Agility,A g i l i t y
289,Apocalypse,Accelerated Healing,Accelerated Healing
290,Apocalypse,Energy Absorption,Energy Absorption
291,Apocalypse,Flight,F l i g h t
292,Apocalypse,Power Augmentation,Power Augmentation
293,Apocalypse,Longevity,Longevity
294,Apocalypse,Super Strength,Super Strength
295,Apocalypse,Telepathy,Telepathy
296,Apocalypse,Energy Blasts,Energy Blasts
297,Apocalypse,Size Changing,Size Changing
298,Apocalypse,Stamina,S t a m i n a
299,Apocalypse,Super Speed,Super Speed
300,Apocalypse,Teleportation,Teleportation
301,Apocalypse,Telekinesis,Telekinesis
302,Apocalypse,Shapeshifting,Shapeshifting
303,Apocalypse,Immortality,Immortality
304,Apocalypse,Reflexes,Reflexes
305,Apocalypse,Invulnerability,Invulnerability
306,Apocalypse,Force Fields,Force Fields
307,Apocalypse,Natural Armor,Natural Armor
308,Apocalypse,Molecular Manipulation,Molecular Manipulation
309,Apocalypse,Levitation,Levitation
310,Apocalypse,Biokinesis,Biokinesis
311,Aquababy,Underwater breathing,Underwater breathing
312,Aquababy,Super Strength,Super Strength
313,Aquababy,Water Control,Water Control
314,Aqualad,Durability,Durability
315,Aqualad,Underwater breathing,Underwater breathing
316,Aqualad,Super Strength,Super Strength
317,Aqualad,Cryokinesis,Cryokinesis
318,Aqualad,Telepathy,Telepathy
319,Aqualad,Stamina,S t a m i n a
320,Aqualad,Super Speed,Super Speed
321,Aqualad,Energy Beams,Energy Beams
322,Aqualad,Magic,M a g i c
323,Aqualad,Enhanced Hearing,Enhanced Hearing
324,Aqualad,Heat Generation,Heat Generation
325,Aqualad,Water Control,Water Control
326,Aqualad,Vision - Night,Vision - Night
327,Aquaman,Agility,A g i l i t y
328,Aquaman,Accelerated Healing,Accelerated Healing
329,Aquaman,Cold Resistance,Cold Resistance
330,Aquaman,Durability,Durability
331,Aquaman,Stealth,S t e a l t h
332,Aquaman,Underwater breathing,Underwater breathing
333,Aquaman,Longevity,Longevity
334,Aquaman,Intelligence,Intelligence
335,Aquaman,Super Strength,Super Strength
336,Aquaman,Telepathy,Telepathy
337,Aquaman,Stamina,S t a m i n a
338,Aquaman,Super Speed,Super Speed
339,Aquaman,Enhanced Senses,Enhanced Senses
340,Aquaman,Reflexes,Reflexes
341,Aquaman,Invulnerability,Invulnerability
342,Aquaman,Enhanced Hearing,Enhanced Hearing
343,Aquaman,Animal Control,Animal Control
344,Aquaman,Enhanced Sight,Enhanced Sight
345,Aquaman,Heat Resistance,Heat Resistance
346,Aquaman,Enhanced Smell,Enhanced Smell
347,Aquaman,Water Control,Water Control
348,Aquaman,Sonar,S o n a r
349,Aquaman,Sub-Mariner,Sub-Mariner
350,Aquaman,Vision - Night,Vision - Night
351,Arachne,Agility,A g i l i t y
352,Arachne,Accelerated Healing,Accelerated Healing
353,Arachne,Durability,Durability
354,Arachne,Super Strength,Super Strength
355,Arachne,Stamina,S t a m i n a
356,Arachne,Super Speed,Super Speed
357,Arachne,Reflexes,Reflexes
358,Arachne,Psionic Powers,Psionic Powers
359,Arachne,Toxin and Disease Resistance,"Toxin,Disease Resis"
360,Arachne,Enhanced Touch,Enhanced Touch
361,Arachne,Wallcrawling,Wallcrawling
362,Arachne,Web Creation,Web Creation
363,Archangel,Agility,A g i l i t y
364,Archangel,Accelerated Healing,Accelerated Healing
365,Archangel,Durability,Durability
366,Archangel,Flight,F l i g h t
367,Archangel,Super Strength,Super Strength
368,Archangel,Stamina,S t a m i n a
369,Archangel,Gliding,G l i d i n g
370,Archangel,Vision - Telescopic,Vision - Telescopic
371,Arclight,Durability,Durability
372,Arclight,Super Strength,Super Strength
373,Arclight,Stamina,S t a m i n a
374,Arclight,Seismic Power,Seismic Power
375,Ardina,Agility,A g i l i t y
376,Ardina,Accelerated Healing,Accelerated Healing
377,Ardina,Cold Resistance,Cold Resistance
378,Ardina,Durability,Durability
379,Ardina,Flight,F l i g h t
380,Ardina,Super Strength,Super Strength
381,Ardina,Energy Blasts,Energy Blasts
382,Ardina,Super Speed,Super Speed
383,Ardina,Enhanced Senses,Enhanced Senses
384,Ardina,Reflexes,Reflexes
385,Ardina,Invulnerability,Invulnerability
386,Ardina,Self-Sustenance,Self-Sustenance
387,Ardina,Empathy,E m p a t h y
388,Ardina,Molecular Manipulation,Molecular Manipulation
389,Ardina,Energy Manipulation,Energy Manipulation
390,Ardina,Heat Resistance,Heat Resistance
391,Ardina,Power Cosmic,Power Cosmic
392,Ares,Agility,A g i l i t y
393,Ares,Accelerated Healing,Accelerated Healing
394,Ares,Durability,Durability
395,Ares,Super Strength,Super Strength
396,Ares,Stamina,S t a m i n a
397,Ares,Super Speed,Super Speed
398,Ares,Immortality,Immortality
399,Ares,Reflexes,Reflexes
400,Ariel,Telepathy,Telepathy
401,Ariel,Teleportation,Teleportation
402,Armor,Super Strength,Super Strength
403,Armor,Energy Armor,Energy Armor
404,Armor,Psionic Powers,Psionic Powers
405,Astro Boy,Flight,F l i g h t
406,Astro Boy,Super Strength,Super Strength
407,Astro Boy,Energy Blasts,Energy Blasts
408,Astro Boy,Super Speed,Super Speed
409,Astro Boy,Weapon-based Powers,Weapon-based Powers
410,Astro Boy,Enhanced Hearing,Enhanced Hearing
411,Astro Boy,Vision - Telescopic,Vision - Telescopic
412,Astro Boy,Omnilingualism,Omnilingualism
413,Atlas,Durability,Durability
414,Atlas,Stealth,S t e a l t h
415,Atlas,Intelligence,Intelligence
416,Atlas,Super Strength,Super Strength
417,Atlas,Size Changing,Size Changing
418,Atlas,Stamina,S t a m i n a
419,Atlas,Super Speed,Super Speed
420,Atlas,Immortality,Immortality
421,Atlas,Reflexes,Reflexes
422,Atlas,Invulnerability,Invulnerability
423,Atlas,Self-Sustenance,Self-Sustenance
424,Atom,Longevity,Longevity
425,Atom,Super Strength,Super Strength
426,Atom,Duplication,Duplication
427,Atom,Stamina,S t a m i n a
428,Atom,Super Speed,Super Speed
429,Atom,Radiation Immunity,Radiation Immunity
430,Atom Girl,Size Changing,Size Changing
431,Atom II,Flight,F l i g h t
432,Atom II,Super Strength,Super Strength
433,Atom II,Size Changing,Size Changing
434,Atom II,Density Control,Density Control
435,Atom II,Gliding,G l i d i n g
436,Atom III,Size Changing,Size Changing
437,Atom IV,Intelligence,Intelligence
438,Aurora,Accelerated Healing,Accelerated Healing
439,Aurora,Durability,Durability
440,Aurora,Flight,F l i g h t
441,Aurora,Energy Blasts,Energy Blasts
442,Aurora,Super Speed,Super Speed
443,Aurora,Reflexes,Reflexes
444,Aurora,Molecular Manipulation,Molecular Manipulation
445,Aurora,Light Control,Light Control
446,Aurora,Illumination,Illumination
447,Aurora,Molecular Combustion,Molecular Combustion
448,Azazel,Accelerated Healing,Accelerated Healing
449,Azazel,Longevity,Longevity
450,Azazel,Teleportation,Teleportation
451,Azazel,Dimensional Travel,Dimensional Travel
452,Azazel,Shapeshifting,Shapeshifting
453,Azazel,Regeneration,Regeneration
454,Azrael,Weapons Master,Weapons Master
455,Azrael,Super Strength,Super Strength
456,Azrael,Stamina,S t a m i n a
457,Azrael,Super Speed,Super Speed
458,Azrael,Weapon-based Powers,Weapon-based Powers
459,Aztar,Flight,F l i g h t
460,Aztar,Super Strength,Super Strength
461,Aztar,Telepathy,Telepathy
462,Aztar,Stamina,S t a m i n a
463,Aztar,Astral Travel,Astral Travel
464,Aztar,Super Speed,Super Speed
465,Aztar,Teleportation,Teleportation
466,Aztar,Magic,M a g i c
467,Aztar,Invulnerability,Invulnerability
468,Aztar,Precognition,Precognition
469,Aztar,Intangibility,Intangibility
470,Aztar,Illusions,Illusions
471,Aztar,Invisibility,Invisibility
472,Bananaman,Flight,F l i g h t
473,Bananaman,Super Strength,Super Strength
474,Bananaman,Super Speed,Super Speed
475,Bananaman,Invulnerability,Invulnerability
476,Bane,Durability,Durability
477,Bane,Super Strength,Super Strength
478,Bane,Stamina,S t a m i n a
479,Bane,Super Speed,Super Speed
480,Bane,Enhanced Memory,Enhanced Memory
481,Bane,Reflexes,Reflexes
482,Banshee,Flight,F l i g h t
483,Banshee,Audio Control,Audio Control
484,Banshee,Force Fields,Force Fields
485,Banshee,Enhanced Hearing,Enhanced Hearing
486,Banshee,Sonar,S o n a r
487,Banshee,Sonic Scream,Sonic Scream
488,Bantam,Durability,Durability
489,Bantam,Super Strength,Super Strength
490,Bantam,Stamina,S t a m i n a
491,Batgirl,Stealth,S t e a l t h
492,Batgirl,Marksmanship,Marksmanship
493,Batgirl,Weapons Master,Weapons Master
494,Batgirl,Intelligence,Intelligence
495,Batgirl,Stamina,S t a m i n a
496,Batgirl,Weapon-based Powers,Weapon-based Powers
497,Batgirl,Reflexes,Reflexes
498,Batgirl IV,Agility,A g i l i t y
499,Batgirl IV,Stealth,S t e a l t h
500,Batgirl IV,Weapons Master,Weapons Master
501,Batgirl IV,Peak Human Condition,Peak Human Condition
502,Batgirl IV,Toxin and Disease Resistance,"Toxin,Disease Resis"
503,Batgirl VI,Agility,A g i l i t y
504,Batgirl VI,Marksmanship,Marksmanship
505,Batgirl VI,Stamina,S t a m i n a
506,Batgirl VI,Weapon-based Powers,Weapon-based Powers
507,Batman,Agility,A g i l i t y
508,Batman,Durability,Durability
509,Batman,Stealth,S t e a l t h
510,Batman,Underwater breathing,Underwater breathing
511,Batman,Marksmanship,Marksmanship
512,Batman,Weapons Master,Weapons Master
513,Batman,Intelligence,Intelligence
514,Batman,Super Strength,Super Strength
515,Batman,Stamina,S t a m i n a
516,Batman,Super Speed,Super Speed
517,Batman,Weapon-based Powers,Weapon-based Powers
518,Batman,Peak Human Condition,Peak Human Condition
519,Batman,Reflexes,Reflexes
520,Batman,Gliding,G l i d i n g
521,Batman,Power Suit,Power Suit
522,Batman,Vision - Night,Vision - Night
523,Batman,Vision - Infrared,Vision - Infrared
524,Batman II,Agility,A g i l i t y
525,Batman II,Stealth,S t e a l t h
526,Batman II,Marksmanship,Marksmanship
527,Batman II,Weapons Master,Weapons Master
528,Batman II,Intelligence,Intelligence
529,Batman II,Stamina,S t a m i n a
530,Batman II,Weapon-based Powers,Weapon-based Powers
531,Batman II,Peak Human Condition,Peak Human Condition
532,Battlestar,Agility,A g i l i t y
533,Battlestar,Durability,Durability
534,Battlestar,Super Strength,Super Strength
535,Battlestar,Stamina,S t a m i n a
536,Battlestar,Super Speed,Super Speed
537,Battlestar,Reflexes,Reflexes
538,Batwoman V,Stealth,S t e a l t h
539,Batwoman V,Marksmanship,Marksmanship
540,Batwoman V,Weapons Master,Weapons Master
541,Batwoman V,Intelligence,Intelligence
542,Batwoman V,Stamina,S t a m i n a
543,Batwoman V,Dexterity,Dexterity
544,Beak,Flight,F l i g h t
545,Beak,Gliding,G l i d i n g
546,Beak,Vision - Telescopic,Vision - Telescopic
547,Beast,Agility,A g i l i t y
548,Beast,Accelerated Healing,Accelerated Healing
549,Beast,Animal Attributes,Animal Attributes
550,Beast,Intelligence,Intelligence
551,Beast,Super Strength,Super Strength
552,Beast,Stamina,S t a m i n a
553,Beast,Dexterity,Dexterity
554,Beast,Super Speed,Super Speed
555,Beast,Enhanced Senses,Enhanced Senses
556,Beast,Jump,J u m p
557,Beast,Reflexes,Reflexes
558,Beast,Natural Weapons,Natural Weapons
559,Beast,Wallcrawling,Wallcrawling
560,Beast,Vision - Night,Vision - Night
561,Beast Boy,Agility,A g i l i t y
562,Beast Boy,Durability,Durability
563,Beast Boy,Flight,F l i g h t
564,Beast Boy,Animal Attributes,Animal Attributes
565,Beast Boy,Super Strength,Super Strength
566,Beast Boy,Size Changing,Size Changing
567,Beast Boy,Super Speed,Super Speed
568,Beast Boy,Animal Oriented Powers,Animal Oriented Powers
569,Beast Boy,Shapeshifting,Shapeshifting
570,Beast Boy,Empathy,E m p a t h y
571,Beast Boy,Natural Armor,Natural Armor
572,Beast Boy,Natural Weapons,Natural Weapons
573,Beast Boy,Sub-Mariner,Sub-Mariner
574,Beast Boy,Wallcrawling,Wallcrawling
575,Ben 10,Omnitrix,Omnitrix
576,Ben 10,Shapeshifting,Shapeshifting
577,Beta Ray Bill,Accelerated Healing,Accelerated Healing
578,Beta Ray Bill,Super Strength,Super Strength
579,Beta Ray Bill,Stamina,S t a m i n a
580,Beta Ray Bill,Super Speed,Super Speed
581,Beta Ray Bill,Immortality,Immortality
582,Beta Ray Bill,Invulnerability,Invulnerability
583,Beta Ray Bill,Toxin and Disease Resistance,"Toxin,Disease Resis"
584,Beyonder,Accelerated Healing,Accelerated Healing
585,Beyonder,Dimensional Awareness,Dimensional Awareness
586,Beyonder,Energy Absorption,Energy Absorption
587,Beyonder,Flight,F l i g h t
588,Beyonder,Super Strength,Super Strength
589,Beyonder,Telepathy,Telepathy
590,Beyonder,Energy Blasts,Energy Blasts
591,Beyonder,Size Changing,Size Changing
592,Beyonder,Super Speed,Super Speed
593,Beyonder,Teleportation,Teleportation
594,Beyonder,Telekinesis,Telekinesis
595,Beyonder,Shapeshifting,Shapeshifting
596,Beyonder,Immortality,Immortality
597,Beyonder,Invulnerability,Invulnerability
598,Beyonder,Force Fields,Force Fields
599,Beyonder,Psionic Powers,Psionic Powers
600,Beyonder,Energy Manipulation,Energy Manipulation
601,Beyonder,Omnipotent,Omnipotent
602,Beyonder,Reality Warping,Reality Warping
603,Big Barda,Agility,A g i l i t y
604,Big Barda,Durability,Durability
605,Big Barda,Flight,F l i g h t
606,Big Barda,Longevity,Longevity
607,Big Barda,Super Strength,Super Strength
608,Big Barda,Stamina,S t a m i n a
609,Big Barda,Immortality,Immortality
610,Big Barda,Reflexes,Reflexes
611,Big Barda,Invulnerability,Invulnerability
612,Big Barda,Toxin and Disease Resistance,"Toxin,Disease Resis"
613,Big Daddy,Stamina,S t a m i n a
614,Big Man,Marksmanship,Marksmanship
615,Bill Harken,Super Strength,Super Strength
616,Bill Harken,Super Speed,Super Speed
617,Bill Harken,Toxin and Disease Resistance,"Toxin,Disease Resis"
618,Billy Kincaid,Possession,Possession
619,Binary,Durability,Durability
620,Binary,Energy Absorption,Energy Absorption
621,Binary,Flight,F l i g h t
622,Binary,Super Strength,Super Strength
623,Binary,Energy Blasts,Energy Blasts
624,Binary,Super Speed,Super Speed
625,Bionic Woman,Agility,A g i l i t y
626,Bionic Woman,Durability,Durability
627,Bionic Woman,Super Strength,Super Strength
628,Bionic Woman,Stamina,S t a m i n a
629,Bionic Woman,Super Speed,Super Speed
630,Bionic Woman,Jump,J u m p
631,Bionic Woman,Enhanced Hearing,Enhanced Hearing
632,Bird-Brain,Flight,F l i g h t
633,Bird-Brain,Animal Attributes,Animal Attributes
634,Bird-Brain,Natural Weapons,Natural Weapons
635,Bird-Man,Flight,F l i g h t
636,Bird-Man,Super Strength,Super Strength
637,Bird-Man,Animal Oriented Powers,Animal Oriented Powers
